烟台,宝马5系 2014款 525Li 豪华设计套装,2015年,6.0万公里,33.00万,54.20万,2018-10-10
宁波,宝马2系旅行车 2016款 218i 时尚型,2016年,2.8万公里,13.65万,25.50万,2018-10-10
成都,大众 途观 2015款 1.8TSI 自动两驱豪华型,2014年,5.7万公里,14.18万,28.20万,2018-10-10
成都,本田 雅阁 2014款 2.0L LX 舒适版,2014年,5.6万公里,12.43万,19.50万,2018-10-10
济宁,别克GL8 2014款 2.4L 经典版,2016年,8.2万公里,13.20万,22.70万,2018-10-10
上海,大众 帕萨特 2014款 2.0TSI DSG御尊导航版,2015年,5.2万公里,14.33万,28.00万,2018-10-10
成都,现代 途胜 2015款 1.6T 双离合两驱智能型,2016年,2.1万公里,12.50万,19.50万,2018-10-10
青岛,奥迪Q5 2013款 40 TFSI 技术型,2013年,4.2万公里,22.15万,46.40万,2018-10-10
合肥,雷诺 科雷嘉 2017款 2.0L 两驱豪华版,2017年,2.3万公里,12.36万,20.10万,2018-10-10
成都,Smart smart fortwo 2015款 1.0L 52千瓦硬顶激情版,2016年,1.7万公里,8.20万,13.80万,2018-10-10
东莞,日产NV200 2011款 1.6L 232座 尊雅型,2011年,10.3万公里,4.29万,11.50万,2018-10-10
沈阳,本田XR-V 2015款 1.8L EXi  CVT舒适版,2016年,2.8万公里,12.39万,16.30万,2018-10-10
重庆,福特 蒙迪欧 2013款 2.0L GTDi200时尚型,2013年,10.5万公里,10.61万,22.00万,2018-10-10
青岛,别克 君威 2012款 GS 2.0T 超级运动版,2012年,8.6万公里,10.18万,30.80万,2018-10-10
扬州,别克 君越 2013款 2.4L SIDI精英舒适型,2016年,3.5万公里,13.46万,27.80万,2018-10-10
廊坊,奥迪Q5 2015款 40 TFSI 舒适型,2015年,3.7万公里,26.70万,52.70万,2018-10-10
淄博,别克 君威 2014款 2.0L 精英时尚型,2014年,7.1万公里,9.65万,21.00万,2018-10-10
青岛,雪佛兰 迈锐宝 2014款 2.0L 自动豪华版,2015年,4.2万公里,9.42万,20.30万,2018-10-10
南京,宝沃汽车 宝沃BX7 2016款 28T 两驱豪华版 5座,2017年,2.3万公里,13.65万,21.90万,2018-10-10
宿迁,日产 天籁 2013款 2.0L XL舒适版,2013年,4.2万公里,11.52万,20.20万,2018-10-10
绵阳,川汽野马 野马T80 2017款 1.5T 手动炫酷版,2018年,200公里,7.30万,11.90万,2018-10-10
西安,雪铁龙C3-XR 2015款 1.6L 自动先锋型,2015年,2.1万公里,6.86万,13.90万,2018-10-10
成都,斯柯达 昊锐 2009款 1.8TSI 自动贵雅版,2010年,10.3万公里,6.27万,23.40万,2018-10-10
青岛,现代 索纳塔八 2014款 2.0L 自动豪华版,2016年,4.0万公里,10.17万,20.60万,2018-10-10
成都,福特 福克斯 2012款 三厢 1.6L 自动舒适型,2013年,8.9万公里,5.32万,14.20万,2018-10-10
郑州,福特 蒙迪欧 2013款 2.0L GTDi200时尚型,2016年,3.7万公里,13.35万,22.00万,2018-10-10
上海,大众 凌渡 2015款 280TSI DSG舒适版,2016年,3.6万公里,12.33万,20.00万,2018-10-10
襄阳,哈弗H6 2013款 升级版 1.5T 手动两驱精英型,2013年,2.6万公里,4.57万,12.60万,2018-10-10
洛阳,雪佛兰 科鲁兹 2013款 1.6L SE MT,2013年,5.0万公里,4.50万,13.00万,2018-10-10
绵阳,力帆 迈威 2016款 1.5L 手动精英型,2016年,1.5万公里,3.44万,6.50万,2018-10-10
保定,比亚迪 元 2016款 1.5L 手动尊贵型,2016年,1.5万公里,4.55万,7.60万,2018-10-10
贵阳,传祺GS5 2014款 2.0L 自动两驱超享版,2015年,5.9万公里,6.37万,14.80万,2018-10-10
济宁,哈弗H6 2013款 升级版 1.5T 手动两驱精英型,2013年,7.2万公里,4.60万,12.60万,2018-10-10
烟台,现代 名图 2014款 1.8L 自动尊贵型DLX,2014年,5.2万公里,8.75万,17.30万,2018-10-10
东莞,大众 捷达 2013款 1.4L 手动时尚型,2014年,8.5万公里,4.33万,9.00万,2018-10-10
深圳,福特 福克斯 2012款 三厢 1.6L 手动风尚型,2013年,7.7万公里,4.70万,14.40万,2018-10-10
济南,大众 朗逸 2013款 改款经典 1.6L 自动风尚版,2014年,1.5万公里,6.95万,13.60万,2018-10-10
鞍山,大众 桑塔纳 2013款 1.4L 手动风尚版,2014年,3.6万公里,4.14万,9.20万,2018-10-10
宿迁,大众 捷达 2013款 1.6L 手动舒适型,2013年,5.9万公里,4.40万,10.70万,2018-10-10
长春,别克 英朗 2013款 GT 1.8L 自动时尚版,2014年,4.3万公里,6.68万,17.90万,2018-10-10
长沙,福特 福睿斯 2015款 1.5L 自动时尚型,2015年,5.8万公里,6.51万,13.00万,2018-10-10
青岛,大众POLO 2013款 1.6L 自动舒适版,2012年,10.1万公里,4.75万,12.10万,2018-10-10
