road_1,"113.357815,23.157731",华农,"113.41515,23.017031",暨南大学番禺
road_2,"113.379318,23.148588",科韵路 泰然管,"113.236235,23.128536",西关外国语
road_3,"113.266549,23.172516",白云万达,"113.364793,23.140343",珠江华景里
road_4,"113.30763,23.083794",逸景翠园,"113.40655,23.166202",万科智慧商业广场
road_5,"113.28679,23.091636",江南新苑,"113.332623,23.198181",天健家居装饰广场
road_6,"113.438453,23.16599",科学城信息大厦,"113.251004,23.132172",嘉和苑
road_7,"113.244352,23.141012",阳江大厦,"113.369836,23.147839",汇景新城
road_8,"113.386659,23.091794",雅郡花园,"113.328852,23.188635",南方医院
road_9,"113.359279,23.188359",保利·林海山庄,"113.317821,23.114558",保利中心
road_10,"113.326795,23.105963",广州塔,"113.456528,23.114992",黄浦区体育中心
road_11,"113.324623,23.137444",天河体育中心,"113.397987,23.130242",富力万科云启
road_12,"113.343355,23.17124",天河客运站,"113.368933,23.112284",红砖厂创意园
road_13,"113.321801,23.117316",富力中心,"113.260175,23.114257",石室圣心大教堂
road_14,"113.264376,23.129019",广州市政府,"113.317151,23.140148",时代广场
road_15,"113.27606,23.146048",广播电视大学,"113.327429,23.116092",广州图书馆
road_16,"113.301945,23.103058",金海湾,"113.345422,23.140999",信源大厦
road_17,"113.325503,23.149369",广州东站,"113.349917,23.104224",唯品会
road_18,"113.332387,23.134052",太古汇,"113.285587,23.114555",海印广场
road_19,"113.339722,23.114938",广粤天地,"113.378518,23.170549",华南御景园
road_20,"113.324553,23.098808",广州IT创意园,"113.351826,23.152819",五山站
